date,sipon,isPartial
2021-01-04,64,False
2021-01-05,70,False
2021-01-06,62,False
2021-01-07,66,False
2021-01-08,35,False
2021-01-09,94,False
2021-01-10,100,False
2021-01-11,75,False
2021-01-12,85,False
2021-01-13,72,False
2021-01-14,59,False
2021-01-15,62,False
2021-01-16,64,False
2021-01-17,77,False
2021-01-18,58,False
2021-01-19,82,False
2021-01-20,59,False
2021-01-21,44,False
2021-01-22,67,False
2021-01-23,38,False
2021-01-24,48,False
2021-01-25,36,False
2021-01-26,33,False
2021-01-27,44,False
2021-01-28,70,False
2021-01-29,52,False
2021-01-30,74,False
2021-01-31,79,False
2021-02-01,54,False
2021-02-02,63,False
2021-02-03,69,False
