date,social distancing,isPartial
2020-10-19,56,False
2020-10-20,68,False
2020-10-21,0,False
2020-10-22,91,False
2020-10-23,0,False
2020-10-24,0,False
2020-10-25,0,False
2020-10-26,86,False
2020-10-27,57,False
2020-10-28,0,False
2020-10-29,57,False
2020-10-30,92,False
2020-10-31,0,False
2020-11-01,0,False
2020-11-02,0,False
2020-11-03,100,False
2020-11-04,0,False
2020-11-05,0,False
2020-11-06,80,False
2020-11-07,0,False
2020-11-08,0,False
2020-11-09,0,False
2020-11-10,59,False
2020-11-11,0,False
2020-11-12,0,False
2020-11-13,0,False
2020-11-14,0,False
2020-11-15,0,False
2020-11-16,0,False
2020-11-17,0,False
2020-11-18,0,False
