date,social distancing,isPartial
2021-01-04,0,False
2021-01-05,0,False
2021-01-06,0,False
2021-01-07,87,False
2021-01-08,0,False
2021-01-09,0,False
2021-01-10,0,False
2021-01-11,0,False
2021-01-12,0,False
2021-01-13,86,False
2021-01-14,0,False
2021-01-15,0,False
2021-01-16,0,False
2021-01-17,0,False
2021-01-18,65,False
2021-01-19,0,False
2021-01-20,55,False
2021-01-21,0,False
2021-01-22,100,False
2021-01-23,0,False
2021-01-24,0,False
2021-01-25,0,False
2021-01-26,53,False
2021-01-27,0,False
2021-01-28,88,False
2021-01-29,75,False
2021-01-30,0,False
2021-01-31,0,False
2021-02-01,0,False
2021-02-02,64,False
2021-02-03,86,False
