date,social distancing,isPartial
2020-09-28,21,False
2020-09-29,22,False
2020-09-30,43,False
2020-10-01,100,False
2020-10-02,31,False
2020-10-03,16,False
2020-10-04,12,False
2020-10-05,17,False
2020-10-06,19,False
2020-10-07,21,False
2020-10-08,24,False
2020-10-09,19,False
2020-10-10,16,False
2020-10-11,0,False
2020-10-12,20,False
2020-10-13,15,False
2020-10-14,15,False
2020-10-15,13,False
2020-10-16,22,False
2020-10-17,20,False
2020-10-18,0,False
2020-10-19,13,False
2020-10-20,22,False
2020-10-21,0,False
2020-10-22,19,False
2020-10-23,0,False
2020-10-24,0,False
2020-10-25,0,False
2020-10-26,18,False
2020-10-27,16,False
2020-10-28,12,False
