date,work from home,isPartial
2020-09-08,92,False
2020-09-09,86,False
2020-09-10,87,False
2020-09-11,74,False
2020-09-12,73,False
2020-09-13,67,False
2020-09-14,100,False
2020-09-15,90,False
2020-09-16,73,False
2020-09-17,53,False
2020-09-18,58,False
2020-09-19,55,False
2020-09-20,92,False
2020-09-21,75,False
2020-09-22,85,False
2020-09-23,82,False
2020-09-24,79,False
2020-09-25,67,False
2020-09-26,53,False
2020-09-27,48,False
2020-09-28,71,False
2020-09-29,76,False
2020-09-30,79,False
2020-10-01,66,False
2020-10-02,34,False
2020-10-03,62,False
2020-10-04,49,False
2020-10-05,85,False
2020-10-06,43,False
2020-10-07,62,False
2020-10-08,62,False
