date,Quarantine,isPartial
2021-01-28,71,False
2021-01-29,81,False
2021-01-30,71,False
2021-01-31,76,False
2021-02-01,86,False
2021-02-02,81,False
2021-02-03,81,False
2021-02-04,74,False
2021-02-05,64,False
2021-02-06,48,False
2021-02-07,55,False
2021-02-08,67,False
2021-02-09,52,False
2021-02-10,73,False
2021-02-11,65,False
2021-02-12,65,False
2021-02-13,66,False
2021-02-14,64,False
2021-02-15,73,False
2021-02-16,77,False
2021-02-17,76,False
2021-02-18,77,False
2021-02-19,81,False
2021-02-20,72,False
2021-02-21,67,False
2021-02-22,72,False
2021-02-23,51,False
2021-02-24,72,False
2021-02-25,83,False
2021-02-26,73,False
2021-02-27,100,False
