date,Quarantine,isPartial
2020-09-09,74,False
2020-09-10,69,False
2020-09-11,60,False
2020-09-12,69,False
2020-09-13,64,False
2020-09-14,66,False
2020-09-15,79,False
2020-09-16,71,False
2020-09-17,79,False
2020-09-18,75,False
2020-09-19,72,False
2020-09-20,73,False
2020-09-21,76,False
2020-09-22,80,False
2020-09-23,60,False
2020-09-24,68,False
2020-09-25,73,False
2020-09-26,65,False
2020-09-27,72,False
2020-09-28,100,False
2020-09-29,96,False
2020-09-30,86,False
2020-10-01,82,False
2020-10-02,81,False
2020-10-03,74,False
2020-10-04,79,False
2020-10-05,87,False
2020-10-06,83,False
2020-10-07,90,False
2020-10-08,84,False
2020-10-09,70,False
