date,Quarantine,isPartial
2020-09-13,61,False
2020-09-14,66,False
2020-09-15,75,False
2020-09-16,63,False
2020-09-17,78,False
2020-09-18,76,False
2020-09-19,68,False
2020-09-20,70,False
2020-09-21,65,False
2020-09-22,72,False
2020-09-23,60,False
2020-09-24,65,False
2020-09-25,69,False
2020-09-26,60,False
2020-09-27,68,False
2020-09-28,100,False
2020-09-29,94,False
2020-09-30,83,False
2020-10-01,79,False
2020-10-02,76,False
2020-10-03,72,False
2020-10-04,71,False
2020-10-05,82,False
2020-10-06,80,False
2020-10-07,89,False
2020-10-08,75,False
2020-10-09,66,False
2020-10-10,71,False
2020-10-11,60,False
2020-10-12,62,False
2020-10-13,73,False
