date,face shield,isPartial
2020-09-20,78,False
2020-09-21,92,False
2020-09-22,61,False
2020-09-23,59,False
2020-09-24,90,False
2020-09-25,54,False
2020-09-26,71,False
2020-09-27,86,False
2020-09-28,64,False
2020-09-29,69,False
2020-09-30,65,False
2020-10-01,69,False
2020-10-02,73,False
2020-10-03,85,False
2020-10-04,73,False
2020-10-05,49,False
2020-10-06,89,False
2020-10-07,95,False
2020-10-08,83,False
2020-10-09,60,False
2020-10-10,54,False
2020-10-11,53,False
2020-10-12,70,False
2020-10-13,38,False
2020-10-14,57,False
2020-10-15,65,False
2020-10-16,47,False
2020-10-17,74,False
2020-10-18,100,False
2020-10-19,38,False
2020-10-20,88,False
