date,face shield,isPartial
2020-06-04,62,False
2020-06-05,42,False
2020-06-06,54,False
2020-06-07,27,False
2020-06-08,30,False
2020-06-09,43,False
2020-06-10,40,False
2020-06-11,42,False
2020-06-12,30,False
2020-06-13,63,False
2020-06-14,0,False
2020-06-15,42,False
2020-06-16,44,False
2020-06-17,76,False
2020-06-18,65,False
2020-06-19,72,False
2020-06-20,64,False
2020-06-21,69,False
2020-06-22,69,False
2020-06-23,59,False
2020-06-24,64,False
2020-06-25,91,False
2020-06-26,81,False
2020-06-27,100,False
2020-06-28,80,False
2020-06-29,74,False
2020-06-30,75,False
2020-07-01,80,False
2020-07-02,84,False
2020-07-03,69,False
2020-07-04,95,False
