date,face shield,isPartial
2021-01-17,60,False
2021-01-18,69,False
2021-01-19,87,False
2021-01-20,66,False
2021-01-21,66,False
2021-01-22,64,False
2021-01-23,61,False
2021-01-24,66,False
2021-01-25,46,False
2021-01-26,59,False
2021-01-27,53,False
2021-01-28,63,False
2021-01-29,48,False
2021-01-30,65,False
2021-01-31,51,False
2021-02-01,77,False
2021-02-02,74,False
2021-02-03,100,False
2021-02-04,63,False
2021-02-05,69,False
2021-02-06,89,False
2021-02-07,96,False
2021-02-08,90,False
2021-02-09,67,False
2021-02-10,0,False
2021-02-11,62,False
2021-02-12,0,False
2021-02-13,0,False
2021-02-14,47,False
2021-02-15,63,False
2021-02-16,67,False
