date,cough,isPartial
2021-01-14,85,False
2021-01-15,90,False
2021-01-16,85,False
2021-01-17,100,False
2021-01-18,72,False
2021-01-19,99,False
2021-01-20,86,False
2021-01-21,77,False
2021-01-22,78,False
2021-01-23,88,False
2021-01-24,85,False
2021-01-25,72,False
2021-01-26,90,False
2021-01-27,89,False
2021-01-28,89,False
2021-01-29,84,False
2021-01-30,74,False
2021-01-31,75,False
2021-02-01,76,False
2021-02-02,78,False
2021-02-03,88,False
2021-02-04,87,False
2021-02-05,97,False
2021-02-06,72,False
2021-02-07,89,False
2021-02-08,71,False
2021-02-09,73,False
2021-02-10,88,False
2021-02-11,80,False
2021-02-12,77,False
2021-02-13,65,False
