date,cough,isPartial
2020-08-29,100,False
2020-08-30,79,False
2020-08-31,70,False
2020-09-01,71,False
2020-09-02,76,False
2020-09-03,60,False
2020-09-04,65,False
2020-09-05,88,False
2020-09-06,88,False
2020-09-07,72,False
2020-09-08,77,False
2020-09-09,78,False
2020-09-10,65,False
2020-09-11,83,False
2020-09-12,72,False
2020-09-13,70,False
2020-09-14,71,False
2020-09-15,70,False
2020-09-16,71,False
2020-09-17,79,False
2020-09-18,55,False
2020-09-19,84,False
2020-09-20,79,False
2020-09-21,78,False
2020-09-22,63,False
2020-09-23,59,False
2020-09-24,66,False
2020-09-25,85,False
2020-09-26,80,False
2020-09-27,44,False
2020-09-28,69,False
