date,lagnat,isPartial
2020-08-27,0,False
2020-08-28,0,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,0,False
2020-09-01,0,False
2020-09-02,50,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,0,False
2020-09-06,0,False
2020-09-07,40,False
2020-09-08,57,False
2020-09-09,0,False
2020-09-10,0,False
2020-09-11,58,False
2020-09-12,0,False
2020-09-13,0,False
2020-09-14,0,False
2020-09-15,0,False
2020-09-16,0,False
2020-09-17,0,False
2020-09-18,0,False
2020-09-19,0,False
2020-09-20,100,False
2020-09-21,0,False
2020-09-22,85,False
2020-09-23,61,False
2020-09-24,0,False
2020-09-25,0,False
2020-09-26,0,False
