date,headache,isPartial
2021-01-06,76,False
2021-01-07,89,False
2021-01-08,78,False
2021-01-09,82,False
2021-01-10,95,False
2021-01-11,95,False
2021-01-12,83,False
2021-01-13,66,False
2021-01-14,80,False
2021-01-15,83,False
2021-01-16,68,False
2021-01-17,78,False
2021-01-18,93,False
2021-01-19,75,False
2021-01-20,79,False
2021-01-21,80,False
2021-01-22,100,False
2021-01-23,88,False
2021-01-24,82,False
2021-01-25,81,False
2021-01-26,85,False
2021-01-27,86,False
2021-01-28,96,False
2021-01-29,76,False
2021-01-30,90,False
2021-01-31,83,False
2021-02-01,80,False
2021-02-02,82,False
2021-02-03,63,False
2021-02-04,55,False
2021-02-05,69,False
