date,ecq,isPartial
2020-05-02,15,False
2020-05-03,13,False
2020-05-04,17,False
2020-05-05,16,False
2020-05-06,13,False
2020-05-07,34,False
2020-05-08,31,False
2020-05-09,32,False
2020-05-10,27,False
2020-05-11,68,False
2020-05-12,100,False
2020-05-13,51,False
2020-05-14,30,False
2020-05-15,24,False
2020-05-16,23,False
2020-05-17,16,False
2020-05-18,16,False
2020-05-19,12,False
2020-05-20,10,False
2020-05-21,14,False
2020-05-22,10,False
2020-05-23,8,False
2020-05-24,7,False
2020-05-25,10,False
2020-05-26,11,False
2020-05-27,9,False
2020-05-28,10,False
2020-05-29,9,False
2020-05-30,6,False
2020-05-31,6,False
2020-06-01,7,False
