date,ecq,isPartial
2020-12-29,100,False
2020-12-30,38,False
2020-12-31,0,False
2021-01-01,34,False
2021-01-02,0,False
2021-01-03,0,False
2021-01-04,30,False
2021-01-05,23,False
2021-01-06,0,False
2021-01-07,0,False
2021-01-08,0,False
2021-01-09,0,False
2021-01-10,0,False
2021-01-11,25,False
2021-01-12,0,False
2021-01-13,0,False
2021-01-14,28,False
2021-01-15,26,False
2021-01-16,0,False
2021-01-17,0,False
2021-01-18,0,False
2021-01-19,25,False
2021-01-20,0,False
2021-01-21,0,False
2021-01-22,26,False
2021-01-23,0,False
2021-01-24,0,False
2021-01-25,32,False
2021-01-26,36,False
2021-01-27,0,False
2021-01-28,0,False
