date,ecq,isPartial
2020-07-25,5,False
2020-07-26,8,False
2020-07-27,8,False
2020-07-28,7,False
2020-07-29,7,False
2020-07-30,8,False
2020-07-31,9,False
2020-08-01,12,False
2020-08-02,100,False
2020-08-03,55,False
2020-08-04,16,False
2020-08-05,8,False
2020-08-06,7,False
2020-08-07,6,False
2020-08-08,6,False
2020-08-09,5,False
2020-08-10,6,False
2020-08-11,6,False
2020-08-12,6,False
2020-08-13,9,False
2020-08-14,7,False
2020-08-15,7,False
2020-08-16,8,False
2020-08-17,24,False
2020-08-18,9,False
2020-08-19,4,False
2020-08-20,3,False
2020-08-21,2,False
2020-08-22,2,False
2020-08-23,2,False
2020-08-24,2,False
