date,ecq,isPartial
2020-06-30,100,False
2020-07-01,73,False
2020-07-02,55,False
2020-07-03,52,False
2020-07-04,32,False
2020-07-05,37,False
2020-07-06,63,False
2020-07-07,64,False
2020-07-08,71,False
2020-07-09,48,False
2020-07-10,39,False
2020-07-11,37,False
2020-07-12,42,False
2020-07-13,54,False
2020-07-14,59,False
2020-07-15,96,False
2020-07-16,65,False
2020-07-17,46,False
2020-07-18,38,False
2020-07-19,29,False
2020-07-20,44,False
2020-07-21,55,False
2020-07-22,66,False
2020-07-23,57,False
2020-07-24,62,False
2020-07-25,58,False
2020-07-26,80,False
2020-07-27,87,False
2020-07-28,72,False
2020-07-29,76,False
2020-07-30,88,False
