date,Frontliners,isPartial
2020-03-24,63,False
2020-03-25,60,False
2020-03-26,64,False
2020-03-27,71,False
2020-03-28,78,False
2020-03-29,68,False
2020-03-30,73,False
2020-03-31,82,False
2020-04-01,80,False
2020-04-02,99,False
2020-04-03,95,False
2020-04-04,100,False
2020-04-05,88,False
2020-04-06,90,False
2020-04-07,69,False
2020-04-08,71,False
2020-04-09,67,False
2020-04-10,55,False
2020-04-11,42,False
2020-04-12,55,False
2020-04-13,49,False
2020-04-14,52,False
2020-04-15,62,False
2020-04-16,53,False
2020-04-17,55,False
2020-04-18,63,False
2020-04-19,52,False
2020-04-20,56,False
2020-04-21,57,False
2020-04-22,54,False
2020-04-23,64,False
