date,masks,isPartial
2020-05-21,70,False
2020-05-22,49,False
2020-05-23,56,False
2020-05-24,65,False
2020-05-25,92,False
2020-05-26,100,False
2020-05-27,81,False
2020-05-28,73,False
2020-05-29,59,False
2020-05-30,57,False
2020-05-31,59,False
2020-06-01,57,False
2020-06-02,66,False
2020-06-03,46,False
2020-06-04,63,False
2020-06-05,53,False
2020-06-06,65,False
2020-06-07,68,False
2020-06-08,32,False
2020-06-09,51,False
2020-06-10,51,False
2020-06-11,66,False
2020-06-12,65,False
2020-06-13,61,False
2020-06-14,53,False
2020-06-15,64,False
2020-06-16,77,False
2020-06-17,58,False
2020-06-18,40,False
2020-06-19,46,False
2020-06-20,67,False
