date,flu,isPartial
2021-02-08,21,False
2021-02-09,13,False
2021-02-10,18,False
2021-02-11,12,False
2021-02-12,19,False
2021-02-13,28,False
2021-02-14,0,False
2021-02-15,24,False
2021-02-16,29,False
2021-02-17,19,False
2021-02-18,26,False
2021-02-19,19,False
2021-02-20,45,False
2021-02-21,100,False
2021-02-22,58,False
2021-02-23,36,False
2021-02-24,34,False
2021-02-25,36,False
2021-02-26,30,False
2021-02-27,17,False
2021-02-28,30,False
2021-03-01,28,False
2021-03-02,33,False
2021-03-03,13,False
2021-03-04,32,False
2021-03-05,28,False
2021-03-06,19,False
2021-03-07,25,False
2021-03-08,24,False
2021-03-09,32,False
2021-03-10,25,False
